name,count,lat,lon
פסטיבל נובה,161,31.398337,34.470135
בארי,146,31.423711,34.492502
רעים,91,31.385920,34.458855
כפר עזה,80,31.483276,34.532376
מפלסים,70,31.501738,34.561727
ניר עוז,59,31.309575,34.402115
מוצב נחל עוז,52,31.479863,34.501497
שדרות,50,31.522367,34.595525
אופקים,32,31.306574,34.619872
עלומים,32,31.452787,34.514705
צומת שער הנגב,32,31.507986,34.586910
צומת גמה,31,31.381046,34.447567
כיסופים,30,31.374448,34.399156
נתיב העשרה,22,31.571985,34.539533
חוף זיקים,18,31.612634,34.504554
סופה,17,31.237328,34.342273
חולית,16,31.229671,34.326655
נחל עוז,16,31.472556,34.497724
מוצב כיסופים,15,31.374727,34.402202
מעבר ארז,14,31.558166,34.544310
תל גמה,14,31.387092,34.445559
מוצב פגה,13,31.450581,34.470236
צומת מבטחים,13,31.256870,34.403087
מחנה אורים,11,31.313478,34.542860
ניר יצחק,9,31.235902,34.356814
יכיני,8,31.481737,34.598624
מחנה זיקים,8,31.603148,34.510125
נירים,8,31.335623,34.394119
צומת מעון,8,31.313554,34.439247
מחנה רעים,7,31.362868,34.447040
מיגונית בכניסה לעלומים,7,31.451694,34.515003
מבטחים,6,31.242338,34.407501
אבו קרינאת,4,31.102913,34.951911
כרם שלום,4,31.227824,34.284429
עין השלושה,4,31.351551,34.403271
אשקלון,3,31.668413,34.574911
בין סעד לנחל עוז,3,31.472776,34.515703
נחל גרר ,3,31.385662,34.634824
נתיבות,3,31.421094,34.587314
פרי גן,3,31.221644,34.356017
כוחלה,2,31.288408,35.054154
ניר עם,2,31.518629,34.580779
צומת שדרות דרום,2,31.516383,34.586595
כפר אביב,1,31.829781,34.722831
עמיעוז,1,31.247652,34.413649
ערערה בנגב,1,31.158784,35.012966
