name,count,lat,lon
אבו קרינאת,4,31.102913,34.951911
אופקים,32,31.306574,34.619872
אשקלון,3,31.668413,34.574911
בארי,146,31.423711,34.492502
בין סעד לנחל עוז,3,31.472776,34.515703
חולית,16,31.229671,34.326655
חוף זיקים,18,31.612634,34.504554
יכיני,8,31.481737,34.598624
כוחלה,2, 31.288408,35.054154
כיסופים,30,31.374448,34.399156
כפר אביב,1,31.829781,34.722831
כפר עזה,80,31.483276,34.532376
כרם שלום,4,31.227824,34.284429
מבטחים,6,31.242338,34.407501
מוצב כיסופים,15,31.374727,34.402202
מוצב נחל עוז,52,31.479863,34.501497
מוצב פגה,13,31.450581,34.470236
מחנה אורים,11,31.313478,34.542860
מחנה זיקים,8,31.603148,34.510125
מחנה רעים,7,31.362868,34.447040
מיגונית בכניסה לעלומים,7,31.451694,34.515003
מפלסים,70,31.501738,34.561727
מעבר ארז,14,31.558166,34.544310
ניר עם,2,31.518629,34.580779
תל גמה,14,31.387092,34.445559
נחל גרר ,3,31.385662,34.634824
נחל עוז,16,31.472556,34.497724
ניר יצחק,9,31.235902,34.356814
ניר עוז,59,31.309575,34.402115
נירים,8,31.335623,34.394119
נתיב העשרה,22,31.571985,34.539533
נתיבות,3,31.421094,34.587314
סופה,17,31.237328,34.342273
צומת גמה,31,31.381046,34.447567
עין השלושה,4,31.351551,34.403271
עלומים,32,31.452787,34.514705
עמיעוז,1,31.247652,34.413649
ערערה בנגב,1,31.158784,35.012966
פסטיבל נובה,161,31.398337,34.470135
פרי גן,3,31.221644,34.356017
צומת מבטחים,13,31.256870,34.403087
צומת מעון,8,31.313554,34.439247
צומת שדרות דרום,2,31.516383,34.586595
צומת שער הנגב,32,31.507986,34.586910
רעים,91,31.385920,34.458855
שדרות,50,31.522367,34.595525 
