id,name,lon,lat
rafah,____,34.254161,31.268667
nuseirat,____ _______ _-________,34.370346,31.457441
al-zawaida,_-________,34.359914,31.420459
al-mawasi,__-______,34.268757,31.359485
bureij,____ _______ __-_____',34.402363,31.438766
gaza-2403,____ ___,34.420815,31.50727
jabalia,______ __ _____,34.482214,31.533865
deir-al-balah,___ __-___,34.350983,31.417118
gaza-2509,____ ___,34.449493,31.511862
home,______ __ _____,34.47961,31.52919
khan-yunis,____ ____,34.309683,31.344259
couple-home,_____ _____,34.478999,31.529865
alaa-home,_____ __ _____,34.478516,31.529266
