id,name,lon,lat
rafah,Rafah,34.254161,31.268667
nuseirat,a-Nuseirat Refugee Camp,34.370346,31.457441
al-zawaida,Hospital in a-Zawaydah,34.359914,31.420459
al-mawasi,al-Mawasi,34.268757,31.359485
bureij,al-Bureij Refugee Camp,34.402363,31.438766
gaza-2403,Gaza City,34.414577,31.502745
jabalia,Jabalya,34.482214,31.533865
deir-al-balah,Deir al-Balah,34.350983,31.417118
gaza-2509,Gaza City,34.449493,31.511862
home,Nibal's parents,34.478516,31.529266
khan-yunis,Ahmad,34.309683,31.344259
couple-home,Ahmad and Nibal,34.478999,31.529865
alaa-home,Nibal's sister,34.47961,31.52919




